question,rag_answer,expected_answer,manual_accuracy_score,manual_citation_score,timestamp,assessment_type
are steroids recommended for adults with septic shock and ongoing requirements for vasopressor therapy?,"**Recommendation for Steroid Use in Adults with Septic Shock and Ongoing Vasopressor Therapy** Based on the provided clinical guidelines and medical literature, the Surviving Sepsis Campaign suggests using IV corticosteroids in adults with septic shock and an ongoing requirement for vasopressor therapy. **Key Recommendations** * **For adults with septic shock and an ongoing requirement for vasopressor therapy, we suggest using IV corticosteroids.** [Source: 2021 Surviving Sepsis Guidelines.md]
* **The typical corticosteroid used in adults with septic shock is IV hydrocortisone at a dose of 200 mg/d given as 50 mg intravenously every 6 hours or as a continuous infusion.** [Source: 2021 Surviving Sepsis Guidelines.md]
* **Corticosteroid use is recommended to commence at a dose of norepinephrine or epinephrine ≥ 0.25 mcg/kg/min at least 4 hours after initiation.** [Source: 2021 Surviving Sepsis Guidelines.md] **Rationale** The Surviving Sepsis Campaign updated their guidelines based on three large RCTs that have been published since the 2016 guidance. An updated meta-analysis found that systemic corticosteroid use accelerated resolution of shock, and a meta-analysis conducted for this guideline revision found an increase in vasopressor-free days. However, corticosteroid use increased neuromuscular weakness, without a clear effect on short- or long-term mortality. The panel judged the desirable effects to outweigh the undesirable effects of low-dose corticosteroid therapy, supporting a weak recommendation in favor of using low-dose corticosteroid therapy in septic shock. [Source: 2021 Surviving Sepsis Guidelines.md] **Additional Considerations** * The use of corticosteroids in septic shock is a topic of ongoing debate, and healthcare providers should weigh the potential benefits against the potential risks and side effects.
* The Surviving Sepsis Campaign emphasizes the importance of patient selection and the need for careful consideration of the potential benefits and risks of corticosteroid use.
* Corticosteroids should be used in conjunction with adequate fluid resuscitation and vasopressor therapy, as described in the Surviving Sepsis Campaign guidelines. **Clinical Takeaway** The Surviving Sepsis Campaign recommends using IV corticosteroids in adults with septic shock and an ongoing requirement for vasopressor therapy. The typical corticosteroid used is IV hydrocortisone at a dose of 200 mg/d given as 50 mg intravenously every 6 hours or as a continuous infusion, commencing at a dose of norepinephrine or epinephrine ≥ 0.25 mcg/kg/min at least 4 hours after initiation. Healthcare providers should carefully consider the potential benefits and risks of corticosteroid use and weigh them against the potential benefits of other treatments.","yes, IV corticosteroids are recommended in this scenario",4,4,20251106_103553,manual
What  PaCo2 are we aiming for withi permissive hypercapnea,"## Permissive Hypercapnea during One-Lung Ventilation (OLV) During OLV, permissive hypercapnea is a protective ventilation strategy that involves intentionally allowing CO2 levels to rise in order to reduce ventilatory pressures and mechanical stress on the lungs. ### Target PaCO2 Levels The recommended target PaCO2 levels during permissive hypercapnea in OLV are: * 40-60 mmHg [Source: step by step management of onelung ventilation CJA 2014.md] ### Risks of Elevated PaCO2 Elevated PaCO2 levels during OLV have been associated with: * Ventricular arrhythmias
* Oxygenation difficulties
* Need for inotropic support
* Increased pulmonary vascular resistance and pulmonary artery pressure
* Right ventricular dysfunction in patients with significant right ventricular dysfunction or depressed adrenergic state [Source: step by step management of onelung ventilation CJA 2014.md] ### Contraindications to Permissive Hypercapnea Contraindications to permissive hypercapnea include: * Elevated intracranial pressure
* Significant right ventricular dysfunction or depressed adrenergic state ### Respiratory Rate and Permissive Hypercapnea To avoid excessive hypercapnia, the respiratory rate (RR) should be increased slightly upon initiation of OLV, but high RR may decrease both inspiratory and expiratory time, leading to increased peak inspiratory pressures and plateau pressures. ### Recommendations Recommendations for permissive hypercapnea during OLV include: * Minimize peak and plateau inspiratory pressure during OLV (i.e., peak pressure < 30 cm H2O and plateau pressure < 20 cm H2O) [Source: step by step management of onelung ventilation CJA 2014.md]
* Use of either volume-control ventilation (VCV) or pressure-control ventilation (PCV) [Source: step by step management of onelung ventilation CJA 2014.md]
* Target PaCO2 levels of 40-60 mmHg [Source: step by step management of onelung ventilation CJA 2014.md] ### Clinical Considerations Clinical considerations for permissive hypercapnea during OLV include: * Close monitoring of PaCO2 levels and ventilatory pressures
* Adjustment of respiratory rate and ventilatory strategy as needed
* Consideration of the patient's underlying medical condition and potential contraindications to permissive hypercapnea It is essential to note that permissive hypercapnea should be used judiciously and under close monitoring, as excessive hypercapnia can lead to serious complications.",40 to 60 mmHg,4,4,20251106_103553,manual
how long should a patient fast after infant formula or non-human milk?,"Based on the provided clinical guidelines and medical literature, the minimum duration of fasting for a patient after infant formula or non-human milk is six hours before elective procedures. [Source: 2021 CAS Guidelines to the Practice of Anesthesia.md]
Before elective procedures, the minimum duration of fasting should be:
Six hours after ingestion of infant formula, non-human milk, or expressed breast milk fortified with additions [Source: 2025_CAS_Revised_Guidelines.md]
Before elective procedures, the minimum duration of fasting should be:
Six hours after ingestion of infant formula, nonhuman milk, or expressed breast milk fortified with additions [Source: Anesthesia Notes.md]
Before elective procedures, the minimum duration of fasting should be
6 hours after a light meal (such as toast and a clear fluid), or after ingestion of infant formula or nonhuman milk Please note that these guidelines are subject to individual patient assessment and may be modified at the discretion of the physician. It is essential to consider the patient's age, preexisting medical conditions, and the type and amount of food ingested to determine the optimal fasting period. In addition, the guidelines emphasize the importance of encouraging patients to drink clear fluids, including water, pulp-free juice, complex carbohydrate beverages, and black tea or coffee, up to two hours before elective surgery, unless contraindicated. Pediatric patients should consume clear fluids up to one hour before elective procedures. Please consult the relevant sources for more information and to verify these guidelines against current clinical protocols.",six hours,4,4,20251106_103553,manual
What is the recommended restrictive transfusion threshold in ICU patients?,"Based on the provided clinical guidelines and medical literature, the recommended restrictive transfusion threshold in ICU patients is a hemoglobin concentration of 70 g/L. This recommendation is based on moderate-quality evidence and is specifically stated in the 2021 Surviving Sepsis Guidelines. [Source: 2021 Surviving Sepsis Guidelines.md] A restrictive transfusion strategy is recommended for adults with sepsis or septic shock, with a hemoglobin concentration transfusion trigger of 70 g/L. This approach is supported by two randomized controlled trials (TRISS and TRICC), which showed similar outcomes in patients with a hemoglobin concentration of 70 g/L compared to those with a higher hemoglobin concentration. [Source: 2021 Surviving Sepsis Guidelines.md] In children over 3 months of age, a restrictive threshold of < 70 g/L is also recommended for RBC transfusion. However, higher transfusion thresholds are often applied to neonates and children with congenital heart disease. [Source: Blood components updated V2 final.md] It is essential to note that RBC transfusion should not be guided by hemoglobin concentration alone, but rather by assessment of a patient's overall clinical status and consideration of extenuating circumstances such as acute myocardial ischemia, severe hypoxemia, or acute hemorrhage. [Source: 2021 Surviving Sepsis Guidelines.md] In summary, the recommended restrictive transfusion threshold in ICU patients is a hemoglobin concentration of 70 g/L, based on moderate-quality evidence from randomized controlled trials. This threshold should be used in conjunction with assessment of a patient's overall clinical status and consideration of extenuating circumstances. **Key Recommendations:** * For adults with sepsis or septic shock, use a restrictive transfusion strategy with a hemoglobin concentration transfusion trigger of 70 g/L.
* In children over 3 months of age, use a restrictive threshold of < 70 g/L for RBC transfusion.
* Consider higher transfusion thresholds in neonates and children with congenital heart disease.
* RBC transfusion should not be guided by hemoglobin concentration alone, but rather by assessment of a patient's overall clinical status and consideration of extenuating circumstances. **Important Notes:** * Further research is needed to determine the effect of various blood purification techniques on patient outcomes.
* Platelet transfusion thresholds in critically ill patients requiring low-bleeding risk invasive procedures are not clearly defined and are the subject of ongoing research.
* The use of platelet transfusions pre-procedure when antiplatelet agents have not been discontinued is not recommended.",Hb < 70 g/L is recommended in most critically ill patients.,4,4,20251106_103553,manual
what are the clinical classifications of pulmonary hypertension?,"**Clinical Classifications of Pulmonary Hypertension** Pulmonary hypertension is a complex clinical condition characterized by elevated mean pulmonary arterial pressure. According to the clinical guidelines and medical literature, pulmonary hypertension is classified based on the presumed mechanism and developmental or acquired anatomic abnormalities of the pulmonary arterial vascular bed. **Classification Categories:** 1. **Pulmonary Arterial Hypertension (PAH)**: PAH is characterized by elevated pulmonary vascular resistance and a mean pulmonary artery pressure of more than 25 mm Hg at rest with a pulmonary capillary wedge pressure, left atrial pressure, or left ventricular end-diastolic pressure of 15 mm Hg or less [Source: 05_Stoelting.md].
2. **Pulmonary Hypertension Owing to Left Heart Disease**: This category includes pulmonary hypertension caused by left heart disease, such as heart failure or left ventricular dysfunction [Source: 05_Stoelting.md].
3. **Pulmonary Hypertension Owing to Lung Diseases and/or Hypoxia**: This category includes pulmonary hypertension caused by lung diseases such as chronic obstructive pulmonary disease (COPD), interstitial lung disease, or sleep-disordered breathing [Source: 05_Stoelting.md].
4. **Chronic Thromboembolic Pulmonary Hypertension (CTEPH)**: CTEPH is a type of pulmonary hypertension caused by chronic thromboembolism [Source: 05_Stoelting.md].
5. **Pulmonary Hypertension with Unclear Multifactorial Mechanisms**: This category includes pulmonary hypertension caused by various factors, such as hematologic disorders or splenectomy [Source: 05_Stoelting.md]. **Specific Subcategories of PAH:** 1. **Idiopathic PAH (IPAH)**: IPAH is a type of PAH with no identifiable risk factor or familial context [Source: 05_Stoelting.md].
2. **Heritable PAH**: Heritable PAH is a type of PAH caused by mutations in bone morphogenetic protein receptor type 2 (BMPR2) [Source: 05_Stoelting.md].
3. **Drug and Toxin-induced PAH**: PAH caused by exposure to certain drugs or toxins [Source: 05_Stoelting.md].
4. **Associated with Connective Tissue Diseases**: PAH associated with connective tissue diseases such as systemic sclerosis or lupus [Source: 05_Stoelting.md].
5. **HIV Infection**: PAH associated with HIV infection [Source: 05_Stoelting.md]. **Important Clinical Considerations:** 1. **Risk of Perioperative Complications**: Patients with PAH are at risk of perioperative complications such as respiratory failure, cardiac dysrhythmias, and congestive heart failure [Source: 05_Stoelting.md].
2. **Importance of Thorough Investigation**: Patients with congenital heart disease and pulmonary hypertension require thorough investigation for all potential contributing etiologies to achieve best clinical outcomes [Source: 2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md].
3. **Specific Therapies**: Effective therapies for pulmonary hypertension may be specific to the primary mechanism of pulmonary hypertension in a given patient [Source: 2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md]. **References:** [Source: 05_Stoelting.md]
[Source: 2018 AHA_ACC Guidelines on Adult Congenital Heart Disease.md] Note: The available context provides a comprehensive overview of the clinical classifications of pulmonary hypertension, but it may not be exhaustive. Additional sources may provide further information on this topic.","Pulmonary arterial hypertension, pulmonary hypertension owing to left heart failure, owing to lung diseases or hypoxia, chronic thromboembolic pulmonary hypertension, and pulmonary hypertension with unclear multifactorial mechanisms",3,3,20251106_103553,manual
Is prophylactic FFP recommended before low-risk invasive procedures?,"Based on the provided context, prophylactic Fresh Frozen Plasma (FFP) is not explicitly recommended before low-risk invasive procedures. Instead, the focus is on antibiotic prophylaxis for patients at risk of infective endocarditis (IE) undergoing dental procedures that involve manipulation of gingival tissue or the periapical region of teeth or cause perforation of the oral mucosa. According to the 2014 ACC_AHA Guideline for the Management of Patients With Valvular Heart Disease, prophylaxis for IE has been recommended in high-risk groups of patients, including those with a previous episode of IE, heart transplant recipients, and those with structurally abnormal valves. In patients in whom IE prophylaxis is reasonable, antibiotic prophylaxis should be given before dental procedures that involve manipulation of gingival tissue or the periapical region of teeth or cause perforation of the oral mucosa. However, there is no mention of FFP prophylaxis in this context. Regarding the risk of bleeding, the 2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery suggests that anticoagulation should be continued in patients undergoing noncardiac surgery, but the specific recommendation regarding FFP prophylaxis is not provided. The 22_Stoelting.md source mentions the importance of covering for gram-negative organisms when the small bowel is entered and anaerobic organisms for procedures involving the large bowel and the female genital tract. However, this is not directly related to FFP prophylaxis. The Anesthesia Notes.md source recommends antibiotic prophylaxis for procedures on the respiratory tract or infected skin, skin structures, or musculoskeletal tissue only for patients with underlying cardiac conditions associated with the highest risk of adverse outcome from IE. However, there is no mention of FFP prophylaxis in this context. In summary, the available context does not provide sufficient information to recommend prophylactic FFP before low-risk invasive procedures. **Recommendation:** Based on the provided context, there is no evidence to recommend prophylactic FFP before low-risk invasive procedures. **Citations:** * [Source: 2014 ACC_AHA Guideline for the Management of Patients With Valvular Heart Disease.md]
* [Source: 22_Stoelting.md]
* [Source: 2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md]
* [Source: Anesthesia Notes.md]","No, prophylactic FFP is not recommended for correcting abnormal coagulation before low-risk procedures.",4,4,20251106_103553,manual
Should single-unit RBC transfusions be used in stable adults?,"**Recommendations for Single-Unit RBC Transfusions in Stable Adults** According to the provided clinical guidelines and medical literature [Source: Blood components updated V2 final.md], single-unit RBC transfusions are recommended in adult patients who are haemodynamically stable and without any evidence of active bleeding (or equivalent volumes calculated based on body weight for children or adults with low body weight (BMI < 18.5 kg/m^2)) [33]. **Key Points:** * Haemoglobin concentration should be measured before and after every RBC unit transfused, along with a clinical assessment [33].
* Point-of-care haemoglobin measurement may be useful in limited resource settings, but laboratory measurement is the gold standard [19].
* Alternative markers for transfusion include central venous oxygen saturation; lactate clearance, acidaemia; and clinical signs (tachycardia, hypotension, ECG changes) [34].
* A restrictive transfusion strategy (maintaining Hb between 70 and 80 g/L) is safe and may lead to a 41% reduction in the number of patients who receive at least one RBC unit [24]. **Clinical Recommendations:** * For patients who are haemodynamically stable and not bleeding, a haemoglobin concentration of 70-80 g/L is a suitable threshold for RBC transfusion [24].
* Higher haemoglobin thresholds (80-100 g/L) may be more appropriate in certain clinical subgroups, such as those with acute coronary syndromes, acute brain injury, active cancer, and older patients [25-27].
* Transfusion should be guided by haemodynamic response in patients who are actively bleeding [33]. **Patient Safety Considerations:** * Transfusion should be guided by clinical assessment and laboratory measurement of haemoglobin concentration [33].
* Alternative markers for transfusion should be used with caution due to their lack of sensitivity and specificity [34].
* Central venous oxygen saturation, lactate clearance, and clinical signs (tachycardia, hypotension, ECG changes) should not be relied upon as the sole indicators for transfusion [19]. **References:** [19] [Source: Blood components updated V2 final.md]
[24] [Source: Blood components updated V2 final.md]
[25-27] [Source: Blood components updated V2 final.md]
[33] [Source: Blood components updated V2 final.md]
[34] [Source: Blood components updated V2 final.md] **Note:** The provided information is based on the clinical guidelines and medical literature cited in the context, and is intended to provide a comprehensive and evidence-based answer to the question.","Yes, single-unit transfusions are recommended in stable adults without active bleeding.",4,4,20251106_103553,manual
Is tranexamic acid recommended in patients at risk of blood loss greater than 500ml?,"Based on the provided context, tranexamic acid is recommended in patients at risk of blood loss greater than 500ml. Tranexamic acid has been proven to reduce bleeding in most surgical settings, including cardiac and major non-cardiac surgery, major trauma, and postpartum hemorrhage [64-66, 93, 132-134]. A meta-analysis of 216 trials (125,550 participants) across a range of clinical settings found no evidence of an increased risk of thromboembolic complications associated with the use of tranexamic acid, supporting the general safety of the drug [135]. Another meta-analysis focusing on patients undergoing non-cardiac surgery (191 RCTs, 40,621 participants) also found no evidence of an increased risk of cardiovascular thromboembolic complications, seizures, or mortality at 30 days with tranexamic acid use [136]. Table 4 in the provided context suggests a dosing schedule for tranexamic acid according to clinical setting: * Major trauma/non-cardiac surgery: 15 mg/kg-1 i.v. (max 1 g) over 10 min followed by 2 mg/kg-1.h-1 infusion until closure or reduction of risk of hemorrhage. The use of tranexamic acid is recommended in patients at risk of major perioperative blood loss, as high-quality evidence supports its safety and efficacy in preventing surgical bleeding [145]. However, it is essential to note that tranexamic acid should be used with caution in patients with massive haematuria (if risk of ureteric obstruction), in patients on oral contraceptive pills (risk of thrombosis), and is contraindicated in disseminated intravascular coagulation. References: [64-66, 93, 132-134] - Tranexamic acid has been proven to reduce bleeding in most surgical settings.
[135] - A meta-analysis of 216 trials (125,550 participants) found no evidence of an increased risk of thromboembolic complications associated with the use of tranexamic acid.
[136] - Another meta-analysis focusing on patients undergoing non-cardiac surgery (191 RCTs, 40,621 participants) found no evidence of an increased risk of cardiovascular thromboembolic complications, seizures, or mortality at 30 days with tranexamic acid use.
[145] - Major bleeding is an important cause of death in surgical patients, and high-quality evidence supports the safety and efficacy of tranexamic acid in preventing surgical bleeding.
[Table 4] - Suggested doses of tranexamic acid according to clinical setting. Overall, based on the provided context, tranexamic acid is recommended in patients at risk of blood loss greater than 500ml, with a suggested dosing schedule as outlined in Table 4.","Yes, tranexamic acid is recommended in patients where significant blood loss is possible.",4,4,20251106_103553,manual
"for adults suspected of having sepsis, is lactate measurement recommended?","For adults suspected of having sepsis, measuring lactate is recommended as an adjunctive test to modify the pretest probability of sepsis. This is supported by the 2021 Surviving Sepsis Guidelines. * The guidelines suggest using lactate as a screening tool for sepsis among undifferentiated adult patients with clinically suspected (but not confirmed) sepsis. [Source: 2021 Surviving Sepsis Guidelines.md]
* Several studies have assessed the use of lactate in this context, with sensitivities ranging from 66-83% and specificities ranging from 80-85%. [Source: 2021 Surviving Sepsis Guidelines.md]
* The presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis. However, lactate alone is neither sensitive nor specific enough to rule-in or rule-out the diagnosis on its own. [Source: 2021 Surviving Sepsis Guidelines.md]
* The guidelines issue a weak recommendation favoring the use of serum lactate as an adjunctive test to modify the pretest probability of sepsis in patients with suspected but not confirmed sepsis. [Source: 2021 Surviving Sepsis Guidelines.md] It is essential to note that lactate testing may not be readily available in many resource-limited settings. [Source: 2021 Surviving Sepsis Guidelines.md] In summary, measuring lactate is recommended as an adjunctive test to modify the pretest probability of sepsis in adults suspected of having sepsis. However, it should be used in conjunction with clinical judgment and other diagnostic tools to make an accurate diagnosis. References:
* [Source: 2021 Surviving Sepsis Guidelines.md]
* Contenti J, Corraze H, Lemoël F, et al: Effectiveness of arterial, venous, and capillary blood lactate as a sepsis triage tool in ED patients. Am J Emerg Med 2015; 33:167-172
* Karon BS, Tolan NV, Wockenfus AM, et al: Evaluation of lactate, white blood cell count, neutrophil count, procalcitonin and immature granulocyte count as biomarkers for sepsis in emergency department patients. Clin Biochem 2017; 50: 956-958
* Ljungström L, Pernestig AK, Jacobsson G, et al: Diagnostic accuracy of procalcitonin, neutrophil-lymphocyte count ratio, C-reactive protein, and lactate in patients with suspected bacterial sepsis. PLoS One 2017; 12:e0181704
* Morris E, McCartney D, Lasserson D, et al: Point-of-care lactate testing for sepsis at presentation to health care: A systematic review of patient outcomes. Br J Gen Pract 2017; 67:e859-e870
* Abdu M, Wilson A, Mhango C, et al: Resource availability for the management of maternal sepsis in Malawi, other low-income countries, and lower-middle-income countries. Int J Gynaecol Obstet 2018; 140:175-183
* Baelani I, Jochberger S, Laimer T, et al: Availability of critical care resources to treat patients with severe sepsis or septic shock in Africa: A self-reported, continent-wide survey of anaesthesia providers. Crit Care 2011; 15:R10
* Baelani I, Jochberger S, Laimer T, et al: Identifying resource needs for sepsis care and guideline implementation in the Democratic Republic of the Congo: A cluster survey of 66 hospitals in four eastern provinces. Middle East J Anaesthesiol 2012; 21:559-575
* 57 . Bataar O, Lundeg G, Tsenddorj G, et al; Helfen Berührt Study Team: Nationwide survey on resource availability for implementing current sepsis guidelines in Mongolia. Bull World Health Organ 2010; 88:839-846","yes, it is recommended to measure blood lactate levels",4,4,20251106_103553,manual
is it recommended to measure preoperative natriuretic peptides in high-risk patients undergoing vascular surgery?,"**Recommendation for measuring preoperative natriuretic peptides in high-risk patients undergoing vascular surgery:** According to the 2014 ACC/AHA Guideline on Cardiac Risk for Non-Cardiac Surgery, preoperative natriuretic peptide levels independently predict cardiovascular events in the first 30 days after vascular surgery (Rodseth et al., 2011) [1, 2]. These biomarkers may provide incremental predictive value when included in preoperative risk indices (Feringa et al., 2006; Feringa et al., 2007; Goei et al., 2008; Schouten et al., 2009; Goei et al., 2011) [3-7]. The guideline states that measurement of biomarkers, especially natriuretic peptides, may be helpful in assessing patients with heart failure (HF) and with diagnosing HF as a postoperative complication in patients at high risk for HF (Section 2.2.4) [8]. However, it also emphasizes that further prospective randomized studies are needed to assess the utility of such a strategy (Section 3.1) [8]. **Clinical considerations:** * Preoperative natriuretic peptide levels should be considered as part of a comprehensive perioperative risk assessment in high-risk patients undergoing vascular surgery.
* These biomarkers may provide incremental predictive value when included in preoperative risk indices.
* Further prospective randomized studies are needed to assess the utility of measuring preoperative natriuretic peptides in reducing postoperative risk. **References:** \[1\] Rodseth RN, Lurati Buse GA, Bolliger D, et al. The predictive ability of pre-operative B-type natriuretic peptide in vascular patients for major adverse cardiac events: an individual patient data meta-analysis. J Am Coll Cardiol. 2011;58:522-9. \[2\] Rodseth RN, Biccard BM, Le MY, et al. The prognostic value of preoperative and post-operative B-type natriuretic peptides in patients undergoing noncardiac surgery: B-type natriuretic peptide and N-terminal fragment of pro-B-type natriuretic peptide: a systematic review and individual patient data meta-analysis. J Am Coll Cardiol. 2014;63:170-80. \[3\] Feringa HHH, Bax JJ, Elhendy A, et al. Association of plasma N-terminal pro-B-type natriuretic peptide with postoperative cardiac events in patients undergoing surgery for abdominal aortic aneurysm or leg bypass. Am J Cardiol. 2006;98:111-5. \[4\] Feringa HHH, Schouten O, Dunkelgrun M, et al. Plasma N-terminal proB-type natriuretic peptide as long-term prognostic marker after major vascular surgery. Heart. 2007;93:226-31. \[5\] Goei D, Schouten O, Boersma E, et al. Influence of renal function on the usefulness of N-terminal pro-B-type natriuretic peptide as a prognostic cardiac risk marker in patients undergoing noncardiac vascular surgery. Am J Cardiol. 2008;101:122-6. \[6\] Schouten O, Hoeks SE, Goei D, et al. Plasma N-terminal pro-B-type natriuretic peptide as a predictor of perioperative and long-term outcome after vascular surgery. J Vasc Surg. 2009;49:435-41. \[7\] Goei D, van Kuijk JP, Flu W-J, et al. Usefulness of repeated N-terminal pro-B-type natriuretic peptide measurements as incremental predictor for long-term cardiovascular outcome after vascular surgery. Am J Cardiol. 2011;107:609-14. \[8\] 2014 ACC/AHA Perioperative Guideline. Circulation. 2014;130:e278-e333.","Yes, measurement of natriuretic peptides may be useful in high-risk vascular surgery patients.",3,3,20251106_103553,manual
