question,expected_answer,ground_truth_sources,rag_answer,score,reasoning,citation_score,citation_reasoning,contexts,index
When should a preoperative BNP be ordered?,"when the patient will be admitted post operatively with an age greater than 65, or 45-65 with significant cardiac disease or a revised cardiac risk index score (RCRI) of 1 or more",2025_CAS_Revised_Guidelines.md,"Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",[],0
when should a preoperative echocardiogram be ordered,"an echocardiogram may be considered if clinical assessment is suggestive of an undiagnosed severe obstructive intracardiac abnormality such as aortic stenosis, hypertrophic cardiomyopathy, cardiomyopathy, or severe pulmonary hypertension",2025_CAS_Revised_Guidelines.md,"**Preoperative Echocardiogram Ordering: Indications and Recommendations** Based on the provided clinical guidelines and medical literature, the indications for preoperative echocardiogram ordering are as follows: **Strong Recommendations:** 1. **Do not order a preoperative resting echocardiogram to enhance perioperative cardiac risk estimation** in patients undergoing noncardiac surgery. [Source: 2017 CCS Guidelines on Cardiac Risk for Non-Cardiac Surgery.md]
2. **Measure a preoperative NT-proBNP or BNP in patients who:** * Are 65 years of age or older [Source: 2017 CCS Guidelines on Cardiac Risk for Non-Cardiac Surgery.md] * Are 45-64 years of age with known cardiovascular disease [Source: 2017 CCS Guidelines on Cardiac Risk for Non-Cardiac Surgery.md]
3. **Consider echocardiography if clinical assessment suggests:** * Undiagnosed severe obstructive intracardiac abnormality (e.g., aortic stenosis, mitral stenosis, hypertrophic obstructive cardiomyopathy) [Source: 2017 CCS Guidelines on Cardiac Risk for Non-Cardiac Surgery.md] * Undiagnosed cardiomyopathy [Source: 2017 CCS Guidelines on Cardiac Risk for Non-Cardiac Surgery.md] * Severe pulmonary hypertension [Source: 2017 CCS Guidelines on Cardiac Risk for Non-Cardiac Surgery.md] **Additional Considerations:** 1. **Resting echocardiography may be considered if clinical assessment suggests a low ejection fraction**. However, a preoperative NT-proBNP measurement is a stronger independent predictor of major perioperative cardiovascular complications. [Source: 2017 CCS Guidelines on Cardiac Risk for Non-Cardiac Surgery.md]
2. **Echocardiography may be obtained before surgery to inform the anesthesiologist, surgeon, and medical team of the type and degree of disease** in patients with acute or chronic cardiopulmonary disease based on history and physical exam if it will change management. [Source: 2021 CAS Guidelines to the Practice of Anesthesia.md] **Conclusion:** Preoperative echocardiogram ordering should be based on clinical judgment and limited to patients with specific indications. Routine preoperative echocardiography for risk assessment in patients undergoing noncardiac surgery is not recommended. Please note that these recommendations are based on the provided clinical guidelines and medical literature. Clinical judgment and individual patient factors should always be considered when making decisions about preoperative echocardiogram ordering.",3,"The RAG model's answer is mostly correct, but it includes some minor omissions and additional information that is not directly relevant to the question. The answer accurately states the indications for preoperative echocardiogram ordering, but it also includes recommendations that are not directly related to the question, such as not ordering a preoperative resting echocardiogram for risk estimation in patients undergoing noncardiac surgery. The answer also includes some additional considerations that are not directly relevant to the question, but are still useful information.",2,"The retrieved contexts are mostly relevant to the question, but some are incomplete or outdated. The precision is low because none of the retrieved contexts match the expected source. The overall score is fair because while the contexts are relevant, they lack sufficient information to fully answer the question and some important contexts appear to have been missed.","[{""content"": ""RECOMMENDATION\n\nWe recommend against performing preoperative resting echocardiography to enhance perioperative cardiac risk estimation (Strong Recommendation; LowQuality Evidence).\n\nPractical tip. Although we recommend against routinely obtaining echocardiography before noncardiac surgery to\n\nDuceppe et al.\n\nPerioperative Cardiac Risk Assessment & Management\n\n23\n\nenhance perioperative cardiac risk estimation, if a patient requires urgent/semiurgent or elective surgery and their clinical examination suggests the patient has an undiagnosed severe obstructive intracardiac abnormality (eg, aortic stenosis, mitral stenosis, hypertrophic obstructive cardiomyopathy) or severe pulmonary hypertension, then urgent echocardiography should be obtained before surgery to inform the anesthesiologist, surgeon, and medical team of the type and degree of disease. Moreover, if a physician ' s clinical assessment suggests a patient might have an undiagnosed cardiomyopathy then echocardiography should be performed to facilitate optimization of long-term cardiac health. Physicians should consider the urgency of the surgery when deciding whether echocardiography is obtained before or after surgery.\n\nCoronary computed tomographic angiography"", ""source"": ""2017 CCS Guidelines on Cardiac Risk for Non-Cardiac Surgery.md"", ""page"": null, ""chunk_id"": ""1a89470c-36e4-40d5-9db6-0b880562124a""}, {""content"": ""ACC/AHA Clinical Practice Guideline\n\n2014 ACC/AHA Guideline on Perioperative Cardiovascular Evaluation and Management of Patients Undergoing Noncardiac Surgery\n\nA Report of the American College of Cardiology/American Heart Association Task Force on Practice Guidelines\n\nDeveloped in Collaboration With the American College of Surgeons, American Society of Anesthesiologists, American Society of Echocardiography, American Society of Nuclear Cardiology, Heart Rhythm Society, Society for Cardiovascular Angiography and Interventions, Society of Cardiovascular Anesthesiologists, and Society of Vascular Medicine\n\nEndorsed by the Society of Hospital Medicine\n\nWRITING COMMITTEE MEMBERS*\n\nLee A. Fleisher, MD, FACC, FAHA, Chair \u2020 ; Kirsten E. Fleischmann, MD, MPH, FACC, Vice Chair \u2020 ; Andrew D. Auerbach, MD, MPH \u2020 ; Susan A. Barnason, PhD, RN, FAHA \u2020 ;\n\nJoshua A. Beckman, MD, FACC, FAHA, FSVM \u2021 ; Biykem Bozkurt, MD, PhD, FACC, FAHA\u00a7;\n\nVictor G. Davila-Roman, MD, FACC, FASE* \u2020 ; Marie D. Gerhard-Herman, MD \u2020 ;\n\nThomas A. Holly, MD, FACC, FASNC \u2551 ; Garvan C. Kane, MD, PhD, FAHA, FASE\u00b6; Joseph E. Marine, MD, FACC, FHRS#; M. Timothy Nelson, MD, FACS*;\n\nCrystal C. Spencer, JD \u2020\u2020 ; Annemarie Thompson, MD \u2021\u2021\n\n; Henry H. Ting, MD, MBA, FACC, FAHA\u00a7\u00a7;\n\nBarry F. Uretsky, MD, FACC, FAHA, FSCAI\n\n\u2551\u2551\n\n; Duminda N. Wijeysundera, MD, PhD,\n\nEvidence Review Committee Chair"", ""source"": ""2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md"", ""page"": null, ""chunk_id"": ""a1579d3c-6270-4e96-8d9b-655393da93ad""}, {""content"": ""TEST INDICATIONS Resting echocardiography \u2022 May be considered if clinical assessment suggests undiagnosed severe obstructive intra-cardiac abnormality, cardiomyopathy, or severe pulmonary hypertension. Chest radiograph \u2022 Not recommended for asymptomatic patients in routine preoperative assessment unless part of a surgical or oncological workup unrelated to perioperative risk assessment. \u2022 May be considered for patients with acute or chronic cardiopulmonary disease based on history and physical exam if it will change management.\n\nTable summarizing tests and their indications. Includes recommendations for specific clinical scenarios."", ""source"": ""2021 CAS Guidelines to the Practice of Anesthesia.md"", ""page"": null, ""chunk_id"": ""0431f0f4-5d56-4803-a891-f73b0ebf482f""}, {""content"": ""Practical tip. Hospitals that do not analyze NT-proBNP/ BNP in their core laboratory can obtain an instrument to allow clinicians to obtain NT-proBNP as a point of care test in the preoperative setting, offering biomarker information within minutes.\n\nResting echocardiography\n\nSupplemental Tables S10 and S11 show the summary of /uniFB01 ndings and GRADE quality assessment for the prognostic capabilities of preoperative resting echocardiography, respectively. Two small studies of 339 and 570 patients suggested that a low ejection fraction was a borderline signi /uniFB01 cant independent predictor of major cardiovascular complications within 30 days after noncardiac surgery. 40,41 The largest study (N \u00bc 1923) to assess the prognostic capabilities of preoperative echocardiographic parameters suggested that several parameters (eg, left ventricular ejection fraction < 50%) were independent predictors of major perioperative cardiovascular complications; however, a preoperative NT-proBNP measurement was a much stronger independent predictor. 42 The prognostic capabilities of an RCRI threshold /C21 2 increased with the addition of an NT-proBNP threshold of /C21 301 ng/L (ie, an RR of 1.4; 95% CI, 1.0-1.8 went to an RR of 3.7; 95% CI, 2.7-5.0; P < 0.001); however, use of echocardiographic parameters in addition did not result in a further increase in the RR.\n\nBecause of these data and our recommendation to measure a preoperative NT-proBNP or BNP in patients who undergo noncardiac surgery who are 65 years of age or older, or 45-64 years of age with known cardiovascular disease, the current evidence does not support the use of routine preoperative echocardiography for risk assessment in patients who undergo noncardiac surgery.\n\nRECOMMENDATION\n\nWe recommend against performing preoperative resting echocardiography to enhance perioperative cardiac risk estimation (Strong Recommendation; LowQuality Evidence)."", ""source"": ""2017 CCS Guidelines on Cardiac Risk for Non-Cardiac Surgery.md"", ""page"": null, ""chunk_id"": ""0f760a95-aae7-43b5-a8b0-8e5c2e310c68""}]",1
how long should a patient fast after any meal containing solids?,six hours,2025_CAS_Revised_Guidelines.md,"**Fasting Guidelines for Elective Procedures** The Canadian Anesthesiologists' Society (CAS) provides guidelines for fasting before elective procedures. According to the 2025 CAS Revised Guidelines [Source: 2025_CAS_Revised_Guidelines.md], the minimum duration of fasting should be: * Six hours after any meal containing solids [Source: 2025_CAS_Revised_Guidelines.md]
* Six hours after ingestion of infant formula, non-human milk, or expressed breast milk fortified with additions [Source: 2025_CAS_Revised_Guidelines.md]
* Four hours after ingestion of breast milk [Source: 2025_CAS_Revised_Guidelines.md]
* Two hours after ingestion of clear fluids for adults [Source: 2025_CAS_Revised_Guidelines.md]
* One hour after ingestion of clear fluids for infants and children [Source: 2025_CAS_Revised_Guidelines.md] Additionally, the 2021 CAS Guidelines to the Practice of Anesthesia [Source: 2021 CAS Guidelines to the Practice of Anesthesia.md] provide specific fasting guidelines for different types of meals: * Eight hours after a large meal of solids, particularly containing protein (e.g., meat) or fatty foods [Source: 2021 CAS Guidelines to the Practice of Anesthesia.md]
* Six hours after a light meal (e.g., non-fatty meal such as toast) [Source: 2021 CAS Guidelines to the Practice of Anesthesia.md]
* Two hours after ingestion of clear fluids for adults [Source: 2021 CAS Guidelines to the Practice of Anesthesia.md]
* One hour after ingestion of clear fluids for infants and children [Source: 2021 CAS Guidelines to the Practice of Anesthesia.md] **Patient Safety Considerations** It is essential to note that fasting guidelines may be modified at the discretion of the physician, particularly in patients with conditions that delay gastric emptying [Source: 2025_CAS_Revised_Guidelines.md]. Additionally, premedication, when indicated, should be ordered by the anesthesiologist, and orders should be specific as to dose, time, and route of administration [Source: 2025_CAS_Revised_Guidelines.md]. **Recommendations** To ensure patient safety, the anesthesiologist should: * Review the patient's medical history, including any conditions that may affect gastric emptying
* Assess the patient's current medication regimen and potential interactions with anesthetic agents
* Ensure that the patient has been adequately fasted according to the guidelines above
* Order premedication, if indicated, and specify the dose, time, and route of administration
* Remain with the patient at all times throughout the conduct of general, major regional, and monitored intravenous anesthetics until the patient has been transferred to the care of personnel in the PACU or ICU [Source: Anesthesia Notes.md] Please note that these guidelines are subject to change, and the anesthesiologist should always consult the most recent guidelines and literature for specific patient management.",3,"The RAG model's answer is mostly correct, providing a clear guideline for fasting after a meal containing solids. However, it includes additional information that is not directly relevant to the question, such as fasting guidelines for different types of meals and patient safety considerations. The answer could be improved by focusing more directly on the question and providing a clear, concise response.",2,"The retrieved contexts are mostly relevant to the question, but Context 3 is not directly related to fasting policies. Context 4 provides some relevant information but is incomplete. The precision is low because none of the retrieved contexts match the expected source. Overall, the contexts are partially relevant and partially complete, but with some missing information and irrelevant contexts.","[{""content"": ""Test Indications\n\n123\n\n104\n\nG. Dobson et al.\n\n4.2 Fasting Policies\n\nFasting policies should vary to account for age and preexisting medical conditions and should apply to all forms of anesthesia, including procedural sedation (see Appendix 6). 1 Emergent or urgent procedures should be undertaken after considering the risk of delaying surgery vs the risk of aspiration of gastric contents. The type and amount of food ingested should be considered in determining the duration of fasting.\n\nBefore elective procedures, the minimum duration of fasting should be:\n\nEight hours after a large meal of solids particularly containing protein (e.g., meat) or fatty foods\n\nSix hours after a light meal (e.g., non-fatty meal such as toast)\n\nSix hours after ingestion of infant formula, non- human milk, or expressed breast milk fortified with additions\n\nFour hours after ingestion of breast milk\n\nTwo hours after ingestion of clear fluids for adults\n\nOne hour after ingestion of clear fluids for infants and children\n\nUnless contraindicated, adults and children should be encouraged to drink clear fluids (including water, pulp-free juice, complex carbohydrate beverages, and black tea or coffee up to two hours before elective surgery. Pediatric patients should also be encouraged to consume clear fluids, as defined, up to one hour before elective procedures.\n\nConditions that delay gastric emptying require individual patient assessment. These guidelines may be modified at the discretion of the physician.\n\nPremedication, when indicated, should be ordered by the anesthesiologist. Orders should be specific as to dose, time, and route of administration.\n\nAn H2 receptor antagonist (oral or intravenous) is recommended for all women presenting for Cesarean delivery.\n\nThirty mL of oral sodium citrate (0.3 molar) is recommended prior to an emergent Cesarean delivery if general anesthesia is planned.\n\nSee Section 7.3 for fasting guidelines specific to patients in active labour."", ""source"": ""2021 CAS Guidelines to the Practice of Anesthesia.md"", ""page"": null, ""chunk_id"": ""7b818556-f7de-49a1-95a2-8646ee2989d9""}, {""content"": ""for patients on oral or parenteral anticoagulant therapy.\n\nA Canadian Anesthesiologists' Society Practice Resources: Choosing Wisely Canada. Available from URL: https://www.cas. ca/en/practice-resources/cas-choosing-wisely-canada/choosingwisely-top-5 (accessed November 2024).\n\n123\n\nGuidelines to the Practice of Anesthesia-Revised Edition 2025\n\n4.2 Fasting Guidelines\n\nFasting policies should vary to account for age and preexisting medical conditions and should apply to all forms of anesthesia, including procedural sedation (see Appendix 6). Emergent or urgent procedures should be undertaken after considering the risk of delaying surgery vs the risk of aspiration of gastric contents.\n\nBefore elective procedures, the minimum duration of fasting should be:\n\nSix hours after any meal containing solids\n\nSix hours after ingestion of infant formula, nonhuman milk, or expressed breast milk fortified with additions\n\nFour hours after ingestion of breast milk\n\nTwo hours after ingestion of clear fluids for adults\n\nOne hour after ingestion of clear fluids for infants and children.\n\nUnless contraindicated, adults and children should be encouraged to drink clear fluids (including water, pulp-free juice, complex carbohydrate beverages, and black tea or coffee) up to two hours before elective surgery. Pediatric patients should also be encouraged to consume clear fluids, as defined, up to one hour before elective procedures.\n\nConditions that delay gastric emptying require individual patient assessment. These fasting guidelines may be modified at the discretion of the physician.\n\nPremedication, when indicated, should be ordered by the anesthesiologist. Orders should be specific as to dose, time, and route of administration.\n\nAn H2 receptor antagonist ( po or iv ) is recommended for all women presenting for Cesarean delivery.\n\nThirty millilitres of oral sodium citrate (0.3 M) is recommended prior to an emergent Cesarean delivery if general anesthesia is planned."", ""source"": ""2025_CAS_Revised_Guidelines.md"", ""page"": null, ""chunk_id"": ""f3288706-99e3-4e63-87f7-1c58f74ab93d""}, {""content"": ""ENTERAL NUTRITION\n\nWhen the gastrointestinal tract is functioning, enteral nutrition can be provided by means of nasogastric or gastrostomy tube feedings or by postpyloric methods, such as nasojejunal tubes or feeding jejunostomy tubes. Continuous infusion is the usual method for administering enteral feedings. Th e rate, composition, and volume of the feeding solution will be individualized based on laboratory data. Th e question of when to stop postpyloric feedings in patients requiring surgery is still unclear. However, nasogastric and orogastric feedings should be stopped 8 hours before surgery and the stomach should be suctioned before the patient is taken to the operating room. Complications of enteral feedings are infrequent but include\n\nhyperglycemia causing osmotic diuresis and hypovolemia. Exogenous insulin administration may be a consideration if blood glucose concentrations are elevated. Th e osmolarity of elemental diets (i.e., tube feedings) is high at 550 to 850 mOsm/L, and this o ft en causes diarrhea.\n\nPARENTERAL NUTRITION\n\nParenteral nutrition is indicated when the gastrointestinal tract is not functioning. Peripheral parenteral nutrition using an isotonic solution delivered through a peripheral vein is limited by osmolality and volume constraints. It may be useful as a supplement to oral intake or when the anticipated need for nutritional support is less than 14 days. Total parenteral nutrition (TPN) is used when the daily caloric requirements exceed 2000 kcal or prolonged nutritional support is required. In such cases a catheter is inserted into a central vein to permit infusion of hypertonic solutions in a daily volume of approximately 40 mL/kg."", ""source"": ""16_Stoelting.md"", ""page"": null, ""chunk_id"": ""5191be6b-9577-49f4-a98c-a792ef61387f""}, {""content"": ""medical and surgical history\n\nAMPLE, ASA class, Fhx of anesthetic complications\n\nphysical examination\n\nlaboratory investigations\n\nordered only when indicated by the patient's medical status, drug therapy or the nature of the proposed procedure\n\ndocumented by a physician who is knowledgeable about anesthetic management for the proposed procedure\n\nBefore elective procedures, the minimum duration of fasting should be\n\n8 hours after a meal that includes meat, fried or fatty foods\n\n6 hours after a light meal (such as toast and a clear fluid), or after ingestion of infant formula or nonhuman milk\n\n4 hours after ingestion of breast milk\n\n2 hours after clear fluids\n\nThe Anesthetic Period\n\nBefore beginning the anesthesiologist must ensure that\n\nAn explanation of the planned anesthetic procedure has been provided\n\nAn adequate review of the patient's condition has been performed\n\nAll equipment that is expected to be required is available and in working order\n\nA reserve source of oxygen under pressure is available\n\nSuggested indications for specific tests\n\nTes\n\nIndicnions\n\nrnor\n\nIntematlonal\n\nBle-ding diachesis\n\nthonbo-\n\nDiaberes\n\nDigorin\n\ndiwretic thrapy\n\ncher\n\nPrgnancy\n\nEl-coo-\n\n{mavirlud:\n\nmyelo\n\nPartia]\n\ndrug\n\nAll drugs and agents that are expected to be required arecorrectly identified\n\nUntil a specific connection system is devised for neuraxial use, both sides of all Luer connections are labeled\n\nThe manufacturers' recommendations concerning the use, handling and disposal of anesthetic equipment and supplies have been considered\n\nThe anesthesiologist or an anesthesia assistant supervised by the anesthesiologist shall remain with the patient at all times throughout the conduct of all general, major regional and monitored intravenous anesthetics until the patient has been transferred to the care of personnel in the PACU or ICU"", ""source"": ""Anesthesia Notes.md"", ""page"": null, ""chunk_id"": ""2d97f20e-ab09-48a9-8b1d-da7cf4e36a1b""}]",2
how long should a patient fast after infant formula or non-human milk?,six hours,2025_CAS_Revised_Guidelines.md,Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],3
how long should a patient fast after breast milk?,four hours,2025_CAS_Revised_Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],4
how long should an adult fast after clear fluids?,two hours,2025_CAS_Revised_Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],5
how long should infants and children fast after clear fluids?,one hour,2025_CAS_Revised_Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],6
what is the incidence of post dural puncture headache?,1 percent,2025_CAS_Revised_Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],7
"following an accidental dural puncture with an epidural needle, what is the incidence of post dural puncture headache (PDPH)?",greater than 50%,2025_CAS_Revised_Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],8
what are the consequences of postdural puncture headache?,"increased risk of subdural hematoma, cerebral venous thrombosis, and bacterial meningitits.  Additionally an increased risk of long-term morbidity with increased risk of postpartum depression, chronic headache, and low back pain.",2025_CAS_Revised_Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],9
